curve_label,twist,source,lmfdb_label,conductor,reason
2378c1,57,Zha16_no_2_tors,2378.a1,2378,STABLE_BASE_ALGORITHM2_REMOVAL
2378c1,633,Zha16_no_2_tors,2378.a1,2378,STABLE_BASE_ALGORITHM2_REMOVAL
2378c1,777,Zha16_no_2_tors,2378.a1,2378,STABLE_BASE_ALGORITHM2_REMOVAL
2387a1,597,Zha16_no_2_tors,2387.a1,2387,STABLE_BASE_ALGORITHM2_REMOVAL
2387a1,669,Zha16_no_2_tors,2387.a1,2387,STABLE_BASE_ALGORITHM2_REMOVAL
2387a1,753,Zha16_no_2_tors,2387.a1,2387,STABLE_BASE_ALGORITHM2_REMOVAL
2414d1,273,Zha16_no_2_tors,2414.c1,2414,STABLE_BASE_ALGORITHM2_REMOVAL
2414d1,393,Zha16_no_2_tors,2414.c1,2414,STABLE_BASE_ALGORITHM2_REMOVAL
2414d1,897,Zha16_no_2_tors,2414.c1,2414,STABLE_BASE_ALGORITHM2_REMOVAL
2537c1,21,Zha16_no_2_tors,2537.d1,2537,STABLE_BASE_ALGORITHM2_REMOVAL
2537c1,57,Zha16_no_2_tors,2537.d1,2537,STABLE_BASE_ALGORITHM2_REMOVAL
2537c1,357,Zha16_no_2_tors,2537.d1,2537,STABLE_BASE_ALGORITHM2_REMOVAL
2537c1,489,Zha16_no_2_tors,2537.d1,2537,STABLE_BASE_ALGORITHM2_REMOVAL
2537c1,597,Zha16_no_2_tors,2537.d1,2537,STABLE_BASE_ALGORITHM2_REMOVAL
2537c1,789,Zha16_no_2_tors,2537.d1,2537,STABLE_BASE_ALGORITHM2_REMOVAL
2537c1,861,Zha16_no_2_tors,2537.d1,2537,STABLE_BASE_ALGORITHM2_REMOVAL
2537c1,969,Zha16_no_2_tors,2537.d1,2537,STABLE_BASE_ALGORITHM2_REMOVAL
2555f1,669,Zha16_no_2_tors,2555.e1,2555,STABLE_BASE_ALGORITHM2_REMOVAL
2555f1,681,Zha16_no_2_tors,2555.e1,2555,STABLE_BASE_ALGORITHM2_REMOVAL
2555f1,849,Zha16_no_2_tors,2555.e1,2555,STABLE_BASE_ALGORITHM2_REMOVAL
